prefecture,municipality,districtName,tradePrice,floorPlan,area,buildingYear,structure,cityPlanning,period,renovation
東京都,中央区,晴海,79000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,83000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,79000000,３ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,80000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,81000000,２ＬＤＫ,70,平成27年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,晴海,71000000,２ＬＤＫ,70,平成31年,ＲＣ,準工業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,24000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,東日本橋,51000000,２ＬＤＫ,50,平成24年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,東日本橋,22000000,,20,平成13年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,37000000,１ＬＤＫ,35,平成17年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,30000000,１Ｋ,30,平成17年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,25000000,１Ｋ,20,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,33000000,１Ｋ,30,平成22年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,35000000,１Ｋ,25,平成27年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,東日本橋,43000000,１ＬＤＫ,35,平成23年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,37000000,１ＤＫ,35,平成16年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,湊,110000000,３ＬＤＫ,80,平成29年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,43000000,１ＬＤＫ,35,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,44000000,１ＬＤＫ,40,平成27年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,湊,120000000,２ＬＤＫ,70,平成29年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,43000000,１ＬＤＫ,35,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,47000000,２ＬＤＫ,50,平成17年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,27000000,１Ｋ,20,,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,62000000,２ＬＤＫ,55,平成23年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,22000000,１Ｋ,20,平成18年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,湊,34000000,２ＬＤＫ,45,昭和60年,ＳＲＣ,商業地域,2020年第１四半期,改装済
